title,author,year_read,country,publication_year,century,reading_language,genre,rating
Vergonha,Brittainy Cherry,2022,United States,2019,,PT/BR,Contemporary Romance,5
"Vermelho, Branco e Sangue Azul",Casey McQuiston,2022,United States,2019,,PT/BR,Queer,4.5
Isto Acaba Aqui,Colleen Hoover,2022,United States,2017,,PT/BR,Contemporary Romance,4.5
365 dias,Blanka Lipinska,2022,Poland,2020,,PT/BR,"Romance, Mafia, Erotic",4
Este dia,Blanka Lipinska,2022,Poland,2021,,PT/BR,"Romance, Mafia, Erotic",4
Mais 365 dias,Blanka Lipinska,2022,Poland,2022,,PT/BR,"Romance, Mafia, Erotic",4
Outros jeitos de usar a boca,Rupi Kaur,2022,India,2017,,PT/BR,Poetry,4
"Os Sete Maridos de Evelyn Hugo",Taylor Jenkins Reid,2025,United States,2019,,PT/BR,Queer,5
"M#rda! Amo-te",Pedro Chagas Freitas,2025,Portugal,2019,,PT/PT,,5
"Dear X",VANZIUN,2025,South Korea,2019,,ES,Webtoon,5
"Death's Game",Lee Wonsik,2025,South Korea,2020,,ES,Webtoon,5
"A Coragem de Não Agradar",Ichiro Kishimi,2025,Japan,2018,,PT/BR,Psychology,4.5
"Poesia Completa de Ricardo Reis",Fernando Pessoa,2025,Portugal,,20,PT/PT,Poetry,5
"o que o sol faz com as flores",Rupi Kaur,2025,India,2018,,PT/BR,Poetry,4
"A princesa salva a si mesma neste livro",Amanda Lovelace,2025,United States,2017,,PT/BR,Poetry,5
"Isto Começa Aqui",Colleen Hoover,2025,United States,2022,,PT/BR,,3
"Confiança",Herman Diaz,2025,Argentina,2022,,PT/BR,,3
"Leia um café e tome uma poesia",Fagner Mera,2025,Brazil,2024,,PT/BR,Poetry,3.5
"a bruxa não vai para a fogueira neste livro",Amanda Lovelace,2025,United States,2018,,PT/BR,Poetry,4.5
"Queria morrer, mas no céu não tem tteokbokki",Baek Sehee,2026,South Korea,2023,,PT/BR,Psychology,3.5 
"Dark Moon: The Blood Altar, Vol. 1",HYBE,2026,South Korea,2023,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 2",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 3",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 4",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 5",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 6",HYBE,2026,South Korea,2025,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 7",HYBE,2026,South Korea,2025,,ES,Webtoon,5
Tudo o que sei sobre o amor,Dolly Alderton,2026,United Kingdom,2021,,PT/BR,Humor,4.5
"The Remarried Empress, Season 1",Alphatart,2026,South Korea,2020,,ES,Webtoon,5
"The Remarried Empress, Season 2",Alphatart,2026,South Korea,2022,,ES,Webtoon,5
"The Remarried Empress, Season 3",Alphatart,2026,South Korea,2023,,ES,Webtoon,4.5
"The Remarried Empress, Season 4",Alphatart,2026,South Korea,2024,,ES,Webtoon,4.5
talvez a sua jornada agora seja só sobre você,Iandê Albuquerque,2026,Brazil,2022,,PT/BR,Psychology,1
A voz da sereia volta neste livro,Amanda Lovelace,2026,United States,2019,,PT/BR,Poetry,2.5
"Dark Moon: The Grey City",HYBE,2026,South Korea,2024,,ES,Webtoon,4
Quebre os seus sapatinhos de cristal,Amanda Lovelace,2026,United States,2021,,PT/BR,Poetry,2.5
Sweet Home 1,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,4
Sweet Home 2,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
Sweet Home 3,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
Sweet Home 4,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
Sweet Home 5,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,4
A Coragem de ser feliz,Ichiro Kishimi,2026,Japan,2020,,PT/BR,Psychology,4.5
Sweet Home 6,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,4
"Delusion, Vol. 1",Hongjacga,2026,South Korea,2022,,ES,Webtoon,5
Sweet Home 7,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
"Delusion, Vol. 2",Hongjacga,2026,South Korea,2022,,ES,Webtoon,5
"Delusion, Vol. 3",Hongjacga,2026,South Korea,2022,,ES,Webtoon,5
"Dark Moon: Children of Vamfield",HYBE,2026,South Korea,2026,,ES,Webtoon,5
"Marry My Husband, Vol. 1",Sung Sojak,2026,South Korea,2023,,ES,Webtoon,4.5
Sweet Home 8,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
Sweet Home 9,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
"Marry My Husband, Vol. 2",Sung Sojak,2026,South Korea,2023,,ES,Webtoon,4.5
"Marry My Husband, Vol. 3",Sung Sojak,2026,South Korea,2023,,ES,Webtoon,4.5
"Marry My Husband, Vol. 4",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,4.5
"Marry My Husband, Vol. 5",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,4.5
"Marry My Husband, Vol. 6",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,5
Sweet Home 10,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
"Marry My Husband, Vol. 7",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,4.5
"A Good Day to Be a Dog, Vol. 1",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
"A Good Day to Be a Dog, Vol. 2",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
Sweet Home 11,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
Sweet Home 12,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
"A Good Day to Be a Dog, Vol. 3",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
"A Good Day to Be a Dog, Vol. 4",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3.5
"A Good Day to Be a Dog, Vol. 5",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
Bastard 1,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,3
Bastard 2,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
"A Good Day to Be a Dog, Vol. 6",Lee Hye,2026,South Korea,2018,,ES,Webtoon,4
Bastard 3,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
Bastard 4,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
"A Good Day to Be a Dog, Vol. 7",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
