title,author,year_read,country,publication_year,century,reading_language,genre,rating
"Queria morrer, mas no céu não tem tteokbokki",Baek Sehee,2026,South Korea,2023,,PT/BR,Psychology,3.5 
"Dark Moon: The Blood Altar, Vol. 1",HYBE,2026,South Korea,2023,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 2",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 3",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 4",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 5",HYBE,2026,South Korea,2024,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 6",HYBE,2026,South Korea,2025,,ES,Webtoon,5
"Dark Moon: The Blood Altar, Vol. 7",HYBE,2026,South Korea,2025,,ES,Webtoon,5
Tudo o que sei sobre o amor,Dolly Alderton,2026,United Kingdom,2021,,PT/BR,Humor,4.5
"The Remarried Empress, Season 1",Alphatart,2026,South Korea,2020,,ES,Webtoon,5
"The Remarried Empress, Season 2",Alphatart,2026,South Korea,2022,,ES,Webtoon,5
"The Remarried Empress, Season 3",Alphatart,2026,South Korea,2023,,ES,Webtoon,4.5
"The Remarried Empress, Season 4",Alphatart,2026,South Korea,2024,,ES,Webtoon,4.5
talvez a sua jornada agora seja só sobre você,Iandê Albuquerque,2026,Brazil,2022,,PT/BR,Psychology,1
A voz da sereia volta neste livro,Amanda Lovelace,2026,United States,2019,,PT/BR,Poetry,2.5
"Dark Moon: The Grey City",HYBE,2026,South Korea,2024,,ES,Webtoon,4
Quebre os seus sapatinhos de cristal,Amanda Lovelace,2026,United States,2021,,PT/BR,Poetry,2.5
Sweet Home 1,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,4
Sweet Home 2,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
Sweet Home 3,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
Sweet Home 4,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
Sweet Home 5,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,4
A Coragem de ser feliz,Ichiro Kishimi,2026,Japan,2020,,PT/BR,Psychology,4.5
Sweet Home 6,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,4
"Delusion, Vol. 1",Hongjacga,2026,South Korea,2022,,ES,Webtoon,5
Sweet Home 7,Carnby Kim,2026,South Korea,2020,,ES,Webtoon,3.5
"Delusion, Vol. 2",Hongjacga,2026,South Korea,2022,,ES,Webtoon,5
"Delusion, Vol. 3",Hongjacga,2026,South Korea,2022,,ES,Webtoon,5
"Dark Moon: Children of Vamfield",HYBE,2026,South Korea,2026,,ES,Webtoon,5
"Marry My Husband, Vol. 1",Sung Sojak,2026,South Korea,2023,,ES,Webtoon,4.5
Sweet Home 8,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
Sweet Home 9,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
"Marry My Husband, Vol. 2",Sung Sojak,2026,South Korea,2023,,ES,Webtoon,4.5
"Marry My Husband, Vol. 3",Sung Sojak,2026,South Korea,2023,,ES,Webtoon,4.5
"Marry My Husband, Vol. 4",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,4.5
"Marry My Husband, Vol. 5",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,4.5
"Marry My Husband, Vol. 6",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,5
Sweet Home 10,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
"Marry My Husband, Vol. 7",Sung Sojak,2026,South Korea,2024,,ES,Webtoon,4.5
"A Good Day to Be a Dog, Vol. 1",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
"A Good Day to Be a Dog, Vol. 2",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
Sweet Home 11,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
Sweet Home 12,Carnby Kim,2026,South Korea,2021,,ES,Webtoon,3.5
"A Good Day to Be a Dog, Vol. 3",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
"A Good Day to Be a Dog, Vol. 4",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3.5
"A Good Day to Be a Dog, Vol. 5",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
Bastard 1,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,3
Bastard 2,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
"A Good Day to Be a Dog, Vol. 6",Lee Hye,2026,South Korea,2018,,ES,Webtoon,4
Bastard 3,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
Bastard 4,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
"A Good Day to Be a Dog, Vol. 7",Lee Hye,2026,South Korea,2018,,ES,Webtoon,3
Bastard 5,Carnby Kim,2026,South Korea,2017,,ES,Webtoon,4
"A Good Day to Be a Dog, Vol. 8",Lee Hye,2026,South Korea,2018,,ES,Webtoon,4
"O Conde de Monte Cristo - Tomo I",Alexandre Dumas,2026,France,,19,PT/BR,Classic,4.5
"A Good Day to Be a Dog, Vol. 9",Lee Hye,2026,South Korea,2020,,ES,Webtoon,4
Auto da Barca do Inferno,Gil Vicente,2026,Portugal,,16,PT/PT,"Classic, Dramatic(Theater)",3.5
"Devil Number 4, Vol. 1",Jangjin,2026,South Korea,2020,,ES,Webtoon,4.5
"Devil Number 4, Vol. 2",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
Moonstruck,Jellyfish,2026,United States,2025,,ES,Webtoon,2.5
"Devil Number 4, Vol. 3",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
o Retrato de Dorian Gray,Oscar Wilde,2026,Ireland,,19,PT/BR,"Classic, Queer",4
"Devil Number 4, Vol. 4",Jangjin,2026,South Korea,2020,,ES,Webtoon,4.5
"Devil Number 4, Vol. 5",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
"Devil Number 4, Vol. 6",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
"Devil Number 4, Vol. 7",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
Auto da Barca do Purgatório,Gil Vicente,2026,Portugal,,16,PT/PT,"Classic, Dramatic(Theater)",2.5
"Devil Number 4, Vol. 8",Jangjin,2026,South Korea,2020,,ES,Webtoon,4
"My ID is Gangnam Beauty, Vol. 1",Maenggi Ki,2026,South Korea,2018,,ES,Webtoon,3
